|V|	|E|	time	approx	optimal
7	8	0.012	3270	1784
7	14	0.008	1935	1683
7	5	0.004	1513	1368
7	10	0.006	1810	1567
7	9	0.005	3284	2203
7	11	0.005	713	713
7	9	0.005	1352	1215
7	9	0.006	2272	1295
7	13	0.006	2873	2327
7	10	0.005	1876	1450
7	13	0.006	2784	2332
7	9	0.005	1811	1082
7	14	0.007	1733	1342
7	7	0.004	984 984
7	15	0.009	2825	2067
7	11	0.005	2217	2113
7	13	0.006	2750	1896
7	14	0.006	2747	2747
7	14	0.006	2238	1391
7	10	0.005	2058	1299
7	10	0.005	2068	1844
7	10	0.006	5123	3012
7	7	0.005	2775	1615
7	8	0.004	1409	1409
7	8	0.005	521	426
7	13	0.006	2927	2454
7	6	0.004	1724	1724
7	14	0.006	2229	1623
7	11	0.005	3242	2866
7	11	0.004	1386	1295
7	8	0.004	1715	1574
7	10	0.005	1960	1445
7	14	0.006	1944	1366
7	11	0.005	2166	1657
7	13	0.006	3190	2380
7	11	0.005	1753	1276
7	9	0.004	969	765
7	4	0.003	960	960
7	12	0.005	1225	847
7	16	0.006	2009	1567
7	8	0.005	2127	1392
7	7	0.004	1920	1645
7	9	0.005	3682	1841
7	10	0.005	3717	1966
7	10	0.005	1407	1048
7	8	0.004	2182	1624
7	10	0.005	1996	1416
7	10	0.005	2854	1920
7	14	0.006	2403	1867
7	8	0.004	2225	1716
7	12	0.005	2094	1409
7	11	0.005	3109	2708
7	10	0.005	1869	1318
7	6	0.004	2067	1291
7	13	0.005	2699	2536
7	8	0.004	802	802
7	11	0.005	2711	1907
7	12	0.005	2357	1969
7	11	0.005	548	548
7	8	0.004	2562	1676
7	10	0.005	3049	2131
7	8	0.004	1326	764
7	10	0.005	1149	726
7	9	0.005	2307	1836
7	15	0.007	2490	1687
7	11	0.005	1920	1551
7	13	0.005	2678	2075
7	12	0.005	1466	1466
7	8	0.004	2032	1312
7	10	0.004	2564	2397
7	13	0.006	3614	2222
7	13	0.006	1906	1678
7	11	0.005	2238	1364
7	12	0.005	2919	2064
7	11	0.005	1739	1351
7	5	0.003	335	335
7	9	0.004	2159	1564
7	8	0.004	221	221
7	10	0.005	1510	950
7	8	0.004	1506	959
7	11	0.005	1178	1085
7	13	0.005	829	829
7	11	0.004	2948	2499
7	13	0.005	1598	1598
7	10	0.005	2155	1664
7	11	0.005	1911	1247
7	9	0.004	689	689
7	12	0.005	1540	805
7	4	0.002	757	757
7	10	0.004	319	319
7	15	0.005	1455	1455
7	11	0.005	3030	2182
7	10	0.005	2711	1424
7	10	0.006	2365	1240
7	13	0.005	1536	1417
7	11	0.008	2215	1819
7	9	0.008	1843	1690
7	7	0.007	1298	1297
7	12	0.007	2664	1525
7	13	0.005	1726	1726
7	8	0.005	975	975
7	10	0.005	2496	1523
7	7	0.004	477	477
7	7	0.004	1071	771
7	13	0.006	529	392
7	11	0.005	2658	2227
7	8	0.004	1480	1480
7	7	0.004	1328	848
7	5	0.003	669	476
7	8	0.005	1822	957
7	14	0.005	2717	2037
7	10	0.005	1876	1208
7	12	0.005	3195	2002
7	6	0.004	2013	1332
7	9	0.004	1839	1322
7	11	0.005	2095	1731
7	8	0.004	1068	1068
7	12	0.005	2767	1615
7	11	0.004	1783	1610
7	13	0.005	3257	2565
7	12	0.005	1522	1135
7	11	0.005	3469	2437
7	9	0.004	1676	1676
7	12	0.006	2108	1318
7	15	0.005	2880	2082
7	11	0.005	2395	1483
7	10	0.004	1036	780
7	8	0.004	908	908
7	12	0.005	1881	1881
7	14	0.005	1932	1504
7	10	0.005	2254	1653
7	7	0.004	992	992
7	13	0.005	1627	1333
7	12	0.005	2713	2354
7	8	0.004	1277	1204
7	11	0.005	2406	1497
7	10	0.004	1333	1333
7	13	0.005	1324	1021
7	7	0.003	1290	1290
7	6	0.004	2698	1705
7	8	0.004	2785	1920
