|V|	|E|	time	approx	optimal
7	8	0.038	3270	0.893	1784
7	14	0.04	1935	1.41	1683
7	5	0.02	1513	0.538	1368
7	10	0.019	1810	0.89	1567
7	9	0.018	3284	0.926	2203
7	11	0.024	713	0.922	713
7	9	0.017	1352	0.859	1215
7	9	0.024	2272	0.875	1295
7	13	0.025	2873	1.05	2327
7	10	0.017	1876	0.867	1450
7	13	0.059	2784	1.11	2332
7	9	0.022	1811	0.804	1082
7	14	0.024	1733	1.11	1342
7	7	0.014	984	0.701	984
7	15	0.038	2825	1.2	2067
7	11	0.019	2217	0.928	2113
7	13	0.019	2750	1.12	1896
7	14	0.026	2747	1.17	2747
7	14	0.027	2238	1.13	1391
7	10	0.018	2058	0.873	1299
7	10	0.018	2068	0.957	1844
7	10	0.026	5123	0.607	3012
7	7	0.011	2775	0.447	1615
7	8	0.01	1409	0.547	1409
7	8	0.014	521	0.602	426
7	13	0.018	2927	0.709	2454
7	6	0.009	1724	0.401	1724
7	14	0.013	2229	0.762	1623
7	11	0.014	3242	0.612	2866
7	11	0.008	1386	0.453	1295
7	8	0.007	1715	0.361	1574
7	10	0.008	1960	0.439	1445
7	14	0.01	1944	0.56	1366
7	11	0.009	2166	0.469	1657
7	13	0.012	3190	0.537	2380
7	11	0.01	1753	0.461	1276
7	9	0.008	969	0.405	765
7	4	0.005	960	0.232	960
7	12	0.01	1225	0.493	847
7	16	0.011	2009	0.615	1567
7	8	0.008	2127	0.366	1392
7	7	0.007	1920	0.332	1645
7	9	0.01	3682	0.423	1841
7	10	0.017	3717	0.482	1966
7	10	0.012	1407	0.443	1048
7	8	0.009	2182	0.394	1624
7	10	0.011	1996	0.505	1416
7	10	0.017	2854	0.612	1920
7	14	0.02	2403	0.795	1867
7	8	0.012	2225	0.494	1716
7	12	0.012	2094	0.505	1409
7	11	0.012	3109	0.494	2708
7	10	0.012	1869	0.461	1318
7	6	0.01	2067	0.329	1291
7	13	0.014	2699	0.536	2536
7	8	0.009	802	0.369	802
7	11	0.011	2711	0.466	1907
7	12	0.01	2357	0.504	1969
7	11	0.011	548	0.461	548
7	8	0.012	2562	0.505	1676
7	10	0.016	3049	0.581	2131
7	8	0.015	1326	0.373	764
7	10	0.011	1149	0.436	726
7	9	0.008	2307	0.399	1836
7	15	0.013	2490	0.607	1687
7	11	0.01	1920	0.463	1551
7	13	0.01	2678	0.549	2075
7	12	0.011	1466	0.563	1466
7	8	0.01	2032	0.361	1312
7	10	0.008	2564	0.438	2397
7	13	0.016	3614	0.582	2222
7	13	0.013	1906	0.53	1678
7	11	0.01	2238	0.469	1364
7	12	0.009	2919	0.493	2064
7	11	0.009	1739	0.462	1351
7	5	0.005	335	0.262	335
7	9	0.007	2159	0.403	1564
7	8	0.007	221	0.365	221
7	10	0.008	1510	0.43	950
7	8	0.007	1506	0.365	959
7	11	0.009	1178	0.477	1085
7	13	0.01	829	0.535	829
7	11	0.008	2948	0.452	2499
7	13	0.009	1598	0.526	1598
7	10	0.009	2155	0.436	1664
7	11	0.009	1911	0.462	1247
7	9	0.007	689	0.407	689
7	12	0.01	1540	0.494	805
7	4	0.005	757	0.233	757
7	10	0.014	319	0.433	319
7	15	0.01	1455	0.591	1455
7	11	0.009	3030	0.462	2182
7	10	0.009	2711	0.458	1424
7	10	0.011	2365	0.433	1240
7	13	0.01	1536	0.528	1417
7	11	0.009	2215	0.465	1819
7	9	0.007	1843	0.411	1690
7	7	0.008	1298	0.329	1297
7	12	0.01	2664	0.493	1525
7	13	0.009	1726	0.561	1726
7	8	0.014	975	0.444	975
7	10	0.012	2496	0.433	1523
7	7	0.007	477	0.352	477
7	7	0.008	1071	0.341	771
7	13	0.012	529	0.551	392
7	11	0.011	2658	0.476	2227
7	8	0.009	1480	0.375	1480
7	7	0.009	1328	0.338	848
7	5	0.006	669	0.266	476
7	8	0.012	1822	0.376	957
7	14	0.012	2717	0.568	2037
7	10	0.01	1876	0.432	1208
7	12	0.011	3195	0.5	2002
7	6	0.007	2013	0.315	1332
7	9	0.009	1839	0.404	1322
7	11	0.01	2095	0.469	1731
7	8	0.007	1068	0.357	1068
7	12	0.01	2767	0.524	1615
7	11	0.014	1783	0.466	1610
7	13	0.011	3257	0.53	2565
7	12	0.01	1522	0.501	1135
7	11	0.009	3469	0.471	2437
7	9	0.008	1676	0.399	1676
7	12	0.009	2108	0.509	1318
7	15	0.012	2880	0.594	2082
7	11	0.008	2395	0.464	1483
7	10	0.008	1036	0.442	780
7	8	0.007	908	0.36	908
7	12	0.009	1881	0.505	1881
7	14	0.01	1932	0.578	1504
7	10	0.01	2254	0.446	1653
7	7	0.009	992	0.33	992
7	13	0.01	1627	0.533	1333
7	12	0.009	2713	0.493	2354
7	8	0.008	1277	0.374	1204
7	11	0.009	2406	0.481	1497
7	10	0.01	1333	0.437	1333
7	13	0.01	1324	0.541	1021
7	7	0.008	1290	0.328	1290
7	6	0.007	2698	0.298	1705
7	8	0.007	2785	0.392	1920
7	10	0.013	3160	0.442	1842
7	8	0.01	604	0.374	604
7	14	0.011	3709	0.565	2809
7	10	0.009	1761	0.432	1435
7	8	0.008	2638	0.366	1746
7	10	0.008	1985	0.459	1002
7	12	0.01	2058	0.492	1187
7	8	0.007	2820	0.372	1666
7	13	0.01	2656	0.531	1721
7	15	0.011	2037	0.588	1570
7	9	0.008	1257	0.427	940
7	10	0.011	3375	0.452	2038
7	9	0.01	2492	0.412	2119
7	11	0.011	2310	0.464	1405
7	6	0.006	1256	0.292	937
7	3	0.006	792	0.194	792
7	8	0.007	1673	0.369	1470
7	9	0.007	2012	0.397	1799
7	10	0.009	3005	0.434	1834
7	10	0.009	2369	0.429	1554
7	8	0.008	2535	0.372	1645
7	8	0.007	2260	0.37	1498
7	12	0.01	2191	0.509	1861
7	7	0.008	1074	0.335	1074
7	13	0.01	2924	0.532	2194
7	12	0.009	3501	0.503	1868
7	9	0.007	1932	0.402	1903
7	12	0.01	661	0.493	438
7	7	0.007	1339	0.359	1069
7	14	0.013	1133	0.558	1133
7	14	0.011	2612	0.578	1714
7	10	0.009	2403	0.479	2403
7	8	0.01	469	0.392	469
7	8	0.01	1907	0.402	1802
7	12	0.012	2563	0.495	1984
7	10	0.009	2243	0.436	2050
7	9	0.008	3211	0.4	2224
7	10	0.009	2350	0.442	1751
7	13	0.009	1340	0.555	1340
7	12	0.011	1907	0.551	1400
7	10	0.011	1934	0.522	1934
7	10	0.011	1719	0.424	1168
7	10	0.009	1854	0.432	1173
7	10	0.009	2070	0.429	1738
7	9	0.008	2267	0.407	1589
7	11	0.009	3288	0.469	2246
7	10	0.009	2077	0.462	1205
7	14	0.013	3157	0.56	2143
7	9	0.008	2055	0.416	1187
7	9	0.01	1636	0.403	1636
7	9	0.007	1067	0.404	1067
7	13	0.01	2238	0.579	1570
7	12	0.013	2898	0.498	2200
7	11	0.009	3505	0.481	2621
7	10	0.01	1773	0.443	1318
7	10	0.01	1868	0.436	1121
7	9	0.007	896	0.396	539
7	10	0.009	2425	0.437	1474
7	14	0.01	3227	0.56	2084
7	13	0.018	2630	0.561	2008
7	7	0.009	910	0.335	910
7	6	0.007	370	0.301	213
7	9	0.008	2579	0.421	1589
7	15	0.012	3400	0.589	2483
7	12	0.01	3861	0.501	2714
7	10	0.009	877	0.434	877
7	9	0.008	2120	0.402	1607
7	13	0.01	796	0.53	796
7	12	0.01	2523	0.496	1482
7	14	0.01	2791	0.62	2175
7	9	0.011	2323	0.402	1843
7	10	0.008	1493	0.43	1172
7	15	0.01	1496	0.606	1337
7	13	0.021	3167	0.552	2343
7	12	0.012	2618	0.502	1627
7	14	0.01	2325	0.572	1890
7	7	0.01	2149	0.365	1217
7	12	0.013	3053	0.505	1891
7	11	0.014	3134	0.557	2429
7	10	0.012	2109	0.464	1472
7	7	0.008	674	0.329	674
7	11	0.01	3832	0.47	2695
7	13	0.01	1952	0.527	1125
7	8	0.007	2967	0.365	1682
7	12	0.01	4831	0.511	3242
7	11	0.01	2369	0.47	1852
7	7	0.008	739	0.347	739
7	14	0.01	2069	0.594	2069
7	12	0.012	2712	0.497	1916
7	10	0.009	797	0.43	659
7	10	0.009	1792	0.439	1697
7	12	0.01	2335	0.501	1405
7	8	0.008	1281	0.385	1281
7	12	0.011	1270	0.499	1019
7	12	0.01	832	0.489	832
7	11	0.008	2747	0.466	1814
7	11	0.009	1494	0.515	1494
7	9	0.014	1594	0.424	1071
7	13	0.014	2355	0.567	1193
7	11	0.012	2158	0.49	1680
7	13	0.017	1468	0.578	1352
7	8	0.01	1943	0.375	1587
7	6	0.007	833	0.295	833
7	11	0.009	2030	0.485	1185
7	11	0.013	931	0.473	931
7	11	0.01	1985	0.544	1167
7	8	0.016	1270	0.379	1051
7	8	0.01	2110	0.376	1303
7	10	0.01	867	0.443	867
7	10	0.01	960	0.434	960
7	10	0.009	1969	0.437	1192
7	10	0.008	2607	0.43	2378
7	12	0.009	2651	0.499	1786
7	13	0.01	1084	0.524	903
7	11	0.009	847	0.465	847
7	9	0.008	2879	0.416	1598
7	12	0.01	1739	0.527	1241
7	11	0.012	1848	0.484	1771
7	11	0.012	2539	0.486	1910
7	10	0.011	1851	0.44	1174
7	12	0.01	4266	0.508	2283
7	11	0.011	1016	0.473	563
7	8	0.008	1609	0.364	1295
7	9	0.009	3781	0.407	2224
7	15	0.011	3036	0.634	2714
7	8	0.011	3188	0.369	1890
7	13	0.009	2066	0.523	2066
7	12	0.01	3642	0.499	2094
7	10	0.009	2055	0.433	1361
7	12	0.009	3010	0.496	2184
7	9	0.008	601	0.407	601
7	13	0.009	1467	0.537	1269
7	8	0.007	815	0.369	815
7	11	0.009	3017	0.466	1871
7	5	0.006	2071	0.266	1284
7	10	0.009	1683	0.439	1683
7	12	0.01	3263	0.736	2458
7	9	0.011	1968	0.398	1968
7	14	0.01	1883	0.565	1305
7	8	0.007	1915	0.376	1707
7	10	0.009	2167	0.432	1528
7	9	0.008	3173	0.399	1873
7	12	0.009	2638	0.499	2616
7	10	0.009	2201	0.438	1478
7	12	0.009	1359	0.549	922
