|V|	|E|	time	approx	optimal
10	22	0.045	3705	2301
10	27	0.076	2346	2346
10	23	0.036	4096	2284
10	22	0.029	3110	1993
10	25	0.03	3034	2523
10	22	0.021	4002	2911
10	22	0.026	2857	2173
10	19	0.018	1738	1738
10	22	0.028	3547	2256
10	22	0.026	4835	3316
10	21	0.027	3602	2416
10	18	0.019	2185	1912
10	17	0.026	3365	2709
10	25	0.034	2766	2757
10	18	0.017	1427	1418
10	20	0.031	3109	2283
10	25	0.021	2039	1999
10	21	0.026	3276	2113
10	22	0.036	4281	2855
10	20	0.025	5481	4141
10	19	0.023	3814	2695
10	28	0.028	2761	2761
10	20	0.025	1548	1548
10	23	0.027	3705	2877
10	20	0.045	2868	1945
10	20	0.039	3371	3118
10	22	0.028	3406	2511
10	23	0.066	4598	3650
10	20	0.027	2807	2374
10	24	0.024	2451	1815
10	25	0.037	3883	2996
10	23	0.026	3279	2456
10	17	0.019	2663	2067
10	22	0.039	4032	3299
10	22	0.083	3676	2451
10	19	0.066	3273	2527
10	21	0.027	2943	2747
10	21	0.026	1967	1503
10	16	0.023	3464	2132
10	16	0.031	2484	1594
10	22	0.025	4154	3022
10	22	0.023	2801	2564
10	22	0.026	3788	1935
10	21	0.024	3083	1837
10	18	0.026	3231	2522
10	28	0.026	2626	1652
10	25	0.027	2224	1886
10	22	0.028	3862	2383
10	17	0.026	3685	2426
10	22	0.036	4292	2993
10	19	0.026	5133	3294
10	25	0.026	3796	2951
10	24	0.052	2172	1593
10	27	0.024	4427	3614
10	20	0.019	2552	1582
10	20	0.024	2351	2116
10	26	0.029	2481	2432
10	22	0.096	3228	2858
10	22	0.027	4123	3658
10	20	0.022	3744	2135
10	20	0.049	2950	1961
10	22	0.028	2745	2008
10	21	0.047	3341	2538
10	23	0.031	2583	2251
10	23	0.044	3531	2658
10	23	0.027	2492	2238
10	18	0.026	2694	1910
10	29	0.039	4322	3300
10	18	0.063	4684	3288
10	21	0.026	2564	2356
10	20	0.025	3695	2472
10	21	0.033	4289	2861
10	22	0.023	3962	2676
10	25	0.028	4769	3933
10	21	0.023	3573	2241
10	19	0.026	2130	1664
10	24	0.03	4495	3332
10	16	0.032	2015	2015
10	25	0.033	3933	2582
10	22	0.028	2753	2753
10	17	0.051	5995	3482
10	24	0.026	6018	3925
10	16	0.025	2670	1817
10	21	0.019	3531	2967
10	24	0.035	3477	2672
10	18	0.028	2777	1445
10	26	0.076	4683	3199
10	21	0.02	4485	3925
10	20	0.021	4614	3349
10	27	0.026	4792	3045
10	21	0.022	2408	1716
10	22	0.021	2394	1961
10	30	0.053	3763	3677
10	28	0.064	3345	2694
10	18	0.03	2363	1373
10	17	0.024	2673	1996
10	22	0.049	2532	2462
10	17	0.023	2715	1940
10	21	0.046	2556	1560
10	27	0.022	3075	3075
10	27	0.023	5962	4543
10	20	0.028	4223	3034
10	26	0.033	5066	3430
10	14	0.024	2241	1769
10	24	0.038	1876	1876
10	31	0.032	4567	3582
10	20	0.045	3530	2418
10	26	0.03	2406	2093
10	16	0.026	2708	2031
10	22	0.034	4850	3420
10	18	0.025	4733	4113
10	18	0.034	1470	1111
10	22	0.026	5093	3544
10	21	0.034	3349	2486
10	18	0.027	3189	3038
10	20	0.031	4671	3584
10	27	0.026	3340	2617
10	23	0.026	4032	3038
10	21	0.026	2195	1555
10	24	0.029	4168	3016
10	20	0.031	3607	2977
10	25	0.031	2720	1699
10	23	0.023	2016	1814
10	25	0.068	3490	2579
10	17	0.032	2608	1810
10	21	0.029	3558	2750
10	20	0.026	4372	2906
10	18	0.024	4688	2953
10	18	0.02	3271	2360
10	19	0.024	3954	3369
10	29	0.031	4056	3063
10	24	0.027	3402	3123
10	21	0.02	4615	4017
10	24	0.038	2923	2923
10	24	0.021	3975	2798
10	20	0.026	3002	2532
10	21	0.025	2315	1765
10	22	0.029	2800	2100
10	27	0.024	4405	3266
10	19	0.026	4005	2840
10	20	0.027	2565	1874
10	19	0.023	848	848
10	26	0.03	3100	2289
10	17	0.025	3758	2419
10	18	0.027	2714	1652
10	18	0.025	2528	1546
10	26	0.022	4676	3324
10	21	0.02	3169	2582
10	20	0.032	3852	3636
10	23	0.021	3108	2118
10	24	0.029	4225	3100
10	21	0.033	3069	2155
10	22	0.029	3262	2436
10	23	0.028	3827	2340
10	20	0.029	4772	3272
10	19	0.026	4019	2432
10	27	0.031	1881	1693
10	26	0.07	3070	2030
10	27	0.033	4187	2440
10	15	0.025	1674	1166
10	23	0.03	4046	3080
10	23	0.029	2633	2184
10	25	0.03	2715	2300
10	27	0.032	5479	3681
10	26	0.022	4437	3480
10	22	0.037	3321	2564
10	23	0.028	3688	3194
10	18	0.019	5023	3928
10	21	0.025	4447	3419
10	20	0.034	2942	2942
10	28	0.03	3873	2520
10	24	0.05	3768	2996
10	22	0.032	3718	2320
10	29	0.027	3447	3003
10	23	0.033	3192	2851
10	23	0.041	4031	2836
10	21	0.038	3223	2208
10	23	0.028	3267	2347
10	24	0.026	4407	3576
10	26	0.032	2860	2386
10	26	0.031	3805	2639
10	20	0.044	2826	2536
10	20	0.027	4482	3605
10	22	0.026	2960	2302
10	23	0.026	2126	1899
10	17	0.024	2395	1858
10	22	0.063	2907	2128
10	24	0.027	3271	2687
10	24	0.028	2087	2079
10	22	0.026	2338	1999
10	21	0.025	2778	2473
10	16	0.031	2981	2562
10	29	0.036	4099	3271
10	27	0.028	2677	2677
10	25	0.028	3740	2768
10	20	0.027	2118	1916
10	22	0.024	1385	1385
10	27	0.035	4127	3352
10	23	0.028	4474	2764
10	25	0.036	4853	4519
10	23	0.028	3848	2778
10	21	0.039	3546	2364
10	24	0.024	2357	1629
10	28	0.037	3303	2571
10	22	0.033	5091	3499
10	20	0.027	3695	2845
10	19	0.022	2252	1573
10	21	0.02	3406	2886
10	19	0.019	2629	1698
10	21	0.042	3275	2401
10	24	0.037	3439	2159
10	20	0.028	2650	2569
10	19	0.047	2801	2017
10	19	0.025	5462	3849
10	25	0.029	3158	3158
10	26	0.029	5146	4173
10	22	0.02	3392	2565
10	22	0.033	4033	3395
10	24	0.031	3230	2375
10	27	0.027	4114	3269
10	25	0.071	2637	2098
10	17	0.026	2926	2024
10	32	0.027	5058	3622
10	27	0.028	4342	3362
10	22	0.026	3544	2560
10	22	0.027	2246	1560
10	16	0.026	3575	2327
10	20	0.032	2512	2175
10	27	0.063	1937	1937
10	22	0.028	4346	3413
10	21	0.035	2091	1711
10	21	0.029	4336	3158
10	27	0.07	3504	3088
10	27	0.034	1910	1788
10	21	0.028	4525	2786
10	22	0.02	3329	2651
10	22	0.04	3258	3158
10	22	0.036	2556	2072
10	19	0.019	5000	2947
10	17	0.029	3288	2454
10	21	0.022	3915	2958
10	23	0.025	3138	2067
10	22	0.028	2995	1786
10	22	0.04	3475	2575
10	26	0.029	2514	2419
10	22	0.025	3403	2429
10	24	0.034	3235	2278
10	23	0.022	2399	2212
10	22	0.02	3748	2943
10	19	0.025	4930	3430
10	20	0.022	3586	2656
10	25	0.021	6163	4425
10	23	0.023	3539	3539
10	20	0.027	4278	3294
10	17	0.018	4677	3212
10	19	0.038	2297	2297
10	22	0.031	4025	2734
10	21	0.038	2667	1829
10	19	0.026	4253	2775
10	13	0.024	2643	1631
10	23	0.02	3317	2652
10	21	0.03	5043	2955
10	25	0.023	3246	2047
10	29	0.032	3544	3095
10	19	0.027	3458	2317
10	23	0.029	4231	3035
10	15	0.018	2901	2224
10	24	0.032	2780	2753
10	25	0.036	4910	3031
10	25	0.029	2887	2803
10	23	0.029	5201	3445
10	21	0.027	3177	2922
10	27	0.033	4681	3408
10	20	0.03	2628	2628
10	28	0.03	3253	2668
10	17	0.05	3251	2130
10	27	0.068	3274	2256
10	28	0.032	2957	2676
10	15	0.023	3413	2428
10	22	0.029	1329	1329
10	21	0.027	4292	3075
10	19	0.038	2585	2001
10	22	0.021	3101	2918
10	18	0.027	3118	1926
10	19	0.027	3395	2240
10	23	0.02	2207	1893
10	21	0.036	4195	2565
10	22	0.044	3857	2905
10	23	0.022	4056	3084
10	21	0.019	2056	1313
10	27	0.021	3265	2770
10	27	0.031	5511	4384
10	27	0.033	3016	2348
10	22	0.03	5259	4071
10	22	0.06	4544	3482
10	25	0.03	4772	3521
10	23	0.03	3533	2153
10	20	0.027	4311	2730
10	22	0.028	2674	1790
10	26	0.035	3038	2439
10	24	0.03	4052	2743
10	22	0.027	3590	2594
10	20	0.044	2703	2656
10	21	0.038	3706	2854
10	23	0.025	3508	3041
10	26	0.034	5191	3526
10	19	0.042	1958	1208
10	27	0.032	3916	3150
10	25	0.037	3404	3154
10	17	0.027	2357	1500
10	21	0.03	4810	3469
10	21	0.027	2697	1732
10	24	0.043	4163	2618
10	24	0.029	3515	2842
10	23	0.028	3630	3067
10	21	0.026	4393	2880
10	26	0.031	3167	2499
10	24	0.028	4317	3403
10	21	0.034	3211	2305
10	19	0.027	3220	1839
10	31	0.052	4090	2682
10	22	0.05	3747	3256
10	23	0.032	4792	3718
10	24	0.055	4380	2819
10	19	0.019	3645	2265
10	22	0.035	1931	1723
10	25	0.066	3685	2211
10	22	0.049	2417	1571
10	25	0.029	4049	3355
10	23	0.026	5940	4772
10	25	0.035	3276	3173
10	22	0.021	3613	3301
10	23	0.028	4171	2704
10	22	0.033	4104	3285
10	26	0.027	3657	3392
10	19	0.024	3851	3091
10	18	0.023	3099	2740
10	20	0.024	3580	3576
10	25	0.059	3360	2264
10	16	0.024	1739	1404
10	22	0.045	3204	2215
10	26	0.036	3079	3028
10	20	0.069	5569	3193
10	29	0.025	3427	2340
10	24	0.028	3587	2602
10	28	0.047	2929	2590
10	29	0.032	4275	3594
10	21	0.027	5065	4032
10	25	0.019	2200	2082
10	22	0.028	4798	3225
10	23	0.037	4969	3244
10	21	0.028	3403	2145
10	23	0.023	2092	1526
10	20	0.025	4174	2221
10	26	0.029	5723	3488
10	25	0.03	3948	2682
10	24	0.03	2873	1596
10	24	0.021	2873	2278
10	19	0.029	3262	3008
10	24	0.043	3767	2488
10	25	0.027	3685	2781
10	18	0.019	2568	2068
10	19	0.042	2745	2211
10	24	0.023	4831	3869
10	28	0.032	3581	2972
10	21	0.034	3965	2703
10	20	0.031	3508	2641
10	24	0.031	2183	2075
10	23	0.029	3478	2380
10	28	0.036	4870	3154
10	22	0.036	4628	3331
10	26	0.047	5476	4091
10	24	0.023	4395	2604
10	24	0.033	5060	4365
10	19	0.024	3528	3359
10	27	0.028	4994	3639
10	21	0.02	4405	3507
