|V|	|E|	time	approx
100	2442	0.822	42279
100	2484	1.15	50487
100	2562	0.879	48314
100	2464	1.15	47569
100	2486	0.873	48444
100	2472	1.13	45950
100	2442	0.798	46906
100	2433	0.798	47962
100	2466	1.29	48072
100	2503	0.858	48375
100	2466	0.831	45833
100	2541	0.819	52069
100	2461	0.779	51814
100	2442	1.04	49271
100	2465	1.11	50341
100	2455	0.968	50878
100	2453	1.22	50564
100	2469	1.14	49109
100	2490	0.848	53978
100	2434	0.852	48705
100	2444	0.894	50503
100	2436	0.998	48339
100	2512	0.854	49095
100	2410	0.759	47782
100	2476	0.921	55766
100	2502	0.952	49552
100	2452	1.13	51143
100	2457	0.929	51324
100	2399	0.976	48356
100	2492	0.939	52375
100	2519	1.25	42901
100	2513	1.04	47159
100	2510	1.16	50015
100	2500	1.16	50945
100	2482	1.14	48728
100	2479	1.09	46983
100	2480	0.863	49817
100	2508	1.12	44878
100	2489	0.958	53154
100	2453	0.861	48250
100	2527	1.06	50104
100	2473	1.14	45814
100	2508	1.17	48178
100	2501	1.04	48134
100	2515	1.23	50104
100	2494	1.16	46870
100	2454	0.953	47553
100	2507	0.94	46564
100	2453	0.941	52261
100	2449	1.11	51344
100	2555	1.03	51354
100	2463	1.08	47734
100	2525	1.26	49413
100	2471	0.991	43882
100	2463	0.908	50986
100	2433	1.22	49768
100	2488	1.13	45586
100	2440	1.28	48579
100	2481	1.26	50046
100	2398	1.05	50759
100	2469	1.21	51752
100	2454	1.15	47957
100	2453	0.996	50993
100	2458	0.889	43646
100	2472	1.19	51588
100	2450	1.06	48843
100	2492	1.01	51461
100	2461	1.11	44907
100	2483	1.16	47185
100	2456	1.03	48027
100	2507	1.06	49276
100	2511	0.985	49112
100	2402	1.07	48396
100	2472	1.04	48647
100	2480	0.87	55231
100	2518	1.17	45908
100	2473	0.965	49841
100	2507	1.01	52863
100	2482	0.933	46790
100	2500	0.786	47849
100	2418	1.22	48835
100	2519	1.11	47753
100	2441	0.867	52101
100	2431	0.774	43122
100	2506	1.16	44448
100	2436	0.959	47781
100	2466	1.37	44299
100	2487	1.21	55860
100	2492	1.02	49883
100	2498	1.03	47750
100	2456	0.928	48907
100	2465	1.15	48839
100	2478	0.981	45222
100	2473	1.13	46252
100	2512	0.936	49351
100	2508	1.15	47625
100	2500	1.12	49721
100	2444	0.975	48428
100	2468	1.28	50915
100	2492	1.07	50376
100	2500	0.954	50562
100	2497	1.14	50649
100	2427	1.11	46308
100	2404	1.12	50705
100	2498	0.867	48777
100	2441	0.993	44709
100	2428	0.928	46789
100	2525	1.12	47172
100	2448	1.27	52062
100	2408	0.874	47247
100	2545	1.32	49616
100	2454	1.09	47380
100	2460	0.84	53064
100	2440	0.789	45077
100	2445	1.02	40211
100	2476	0.842	50242
100	2531	1.26	42248
100	2508	0.839	43698
100	2442	1.14	46907
100	2495	1.15	46184
100	2476	0.939	47197
100	2478	0.797	52629
100	2415	1.26	47313
100	2487	1.04	50490
100	2478	1.15	52186
100	2439	1.23	41127
100	2400	1.23	50878
100	2484	0.838	47075
100	2451	1.34	53538
100	2431	1.06	49099
100	2480	1.18	47783
100	2474	1.3	50124
100	2390	1.13	46257
100	2510	1.32	47828
100	2501	1.03	40704
100	2412	1.18	43311
100	2532	1.02	51707
100	2466	1.22	46655
100	2490	1.24	47006
100	2514	1.21	47170
100	2464	1.02	47139
100	2448	0.905	49412
100	2514	1.14	53276
100	2545	0.88	48625
100	2473	0.954	47879
100	2501	0.926	53647
100	2458	0.993	44008
100	2481	1.54	43984
100	2465	1.02	49591
100	2416	1.07	52369
100	2459	0.895	46133
100	2492	1.18	50613
100	2448	1.01	46381
100	2475	1.07	53107
100	2515	1.16	41653
100	2488	1.19	49355
100	2422	1.01	46039
100	2451	1.18	50875
100	2455	1.28	50123
100	2446	1.17	47550
100	2529	0.864	49948
100	2378	0.902	49345
100	2494	1.07	46318
100	2476	0.922	51661
100	2464	0.938	54031
100	2452	1.02	46849
100	2478	1.06	52695
100	2513	1.03	45851
100	2476	0.958	49734
100	2463	0.866	48877
100	2491	1.01	46378
100	2444	1.11	47859
100	2481	0.927	46515
100	2455	0.952	50012
100	2461	1.04	48947
100	2456	1.06	46466
100	2489	0.946	49140
100	2496	0.951	50369
100	2441	1.12	50312
100	2457	1.28	50970
100	2519	1.17	50803
100	2509	1.13	50567
100	2405	1.08	47272
100	2404	1.18	44302
100	2487	1.01	43092
100	2481	1.24	50036
100	2480	1.07	50375
100	2520	1.08	47139
100	2482	0.876	48491
100	2446	1.09	44016
100	2483	1.18	49292
100	2445	1.17	39571
100	2432	1.17	50016
100	2470	1.24	52612
100	2507	1.21	45662
100	2488	1.25	49196
100	2472	1.17	47361
100	2489	1.35	50440
100	2464	1.22	45011
100	2514	1.03	46697
100	2547	1.21	46058
100	2501	1.18	53969
100	2495	1.02	47764
100	2540	1.01	50130
100	2496	1.35	46865
100	2450	1.17	47179
100	2454	1.14	48316
100	2543	1.35	48627
100	2489	1.33	51365
100	2406	0.896	46629
100	2458	1.38	46994
100	2473	1.07	54327
100	2467	1.01	51006
100	2484	1.07	48766
100	2485	1.14	47845
100	2449	0.969	52494
100	2435	1.1	43467
100	2523	1.48	48606
100	2441	0.887	46501
100	2521	0.89	50182
100	2452	1.24	47879
100	2426	1.07	46736
100	2483	1.01	53322
100	2458	1.11	44903
100	2467	0.918	50495
100	2486	1.31	46159
100	2519	1.01	50740
100	2478	0.987	52136
100	2416	0.915	48694
100	2454	1.1	52595
100	2587	1.17	47265
100	2505	1.04	52526
100	2468	1.16	51584
100	2459	1.18	47977
100	2453	1.23	50990
100	2483	1.2	53313
100	2425	0.924	51740
100	2530	0.948	48991
100	2524	1.17	45870
100	2511	1.02	44016
